,yandm,MktRF,smb,hml,rf
621,197804,7.88,0.44,-3.57,0.54
622,197805,1.76,4.56,-0.53,0.51
623,197806,-1.69,1.66,0.57,0.54
624,197807,5.11,0.25,-1.11,0.56
625,197808,3.75,5.06,-0.57,0.56
626,197809,-1.43,-0.43,1.86,0.62
627,197810,-11.91,-9.89,1.39,0.68
628,197811,2.71,3.0,-2.14,0.7
629,197812,0.88,1.29,-2.13,0.78
630,197901,4.23,3.62,2.2,0.77
631,197902,-3.56,0.45,1.14,0.73
632,197903,5.68,3.22,-0.73,0.81
633,197904,-0.06,2.18,1.08,0.8
634,197905,-2.21,0.19,1.32,0.82
635,197906,3.85,1.16,1.39,0.81
636,197907,0.82,1.28,1.86,0.77
637,197908,5.53,2.05,-1.58,0.77
638,197909,-0.82,-0.27,-0.9,0.83
639,197910,-8.1,-3.37,-1.86,0.87
640,197911,5.21,2.87,-3.28,0.99
641,197912,1.79,4.17,-2.1,0.95
642,198001,5.51,1.62,1.75,0.8
643,198002,-1.22,-1.85,0.61,0.89
644,198003,-12.9,-6.64,-1.01,1.21
645,198004,3.97,1.05,1.08,1.26
646,198005,5.26,2.13,0.38,0.81
647,198006,3.06,1.66,-0.76,0.61
648,198007,6.49,4.14,-6.41,0.53
649,198008,1.8,3.93,-2.61,0.64
650,198009,2.19,0.97,-4.58,0.75
651,198010,1.06,2.5,-2.79,0.95
652,198011,9.59,-3.36,-8.33,0.96
653,198012,-4.52,-0.26,2.79,1.31
654,198101,-5.04,2.92,6.72,1.04
655,198102,0.57,-0.34,1.02,1.07
656,198103,3.56,3.54,0.64,1.21
657,198104,-2.11,4.4,2.28,1.08
658,198105,0.11,2.0,-0.42,1.15
659,198106,-2.36,-0.83,5.13,1.35
660,198107,-1.54,-2.18,-0.49,1.24
661,198108,-7.04,-1.94,4.79,1.28
662,198109,-7.17,-2.65,5.17,1.24
663,198110,4.92,2.23,-4.21,1.21
664,198111,3.36,-1.03,1.85,1.07
665,198112,-3.65,1.2,0.82,0.87
666,198201,-3.24,-1.28,3.19,0.8
667,198202,-5.86,0.44,6.05,0.92
668,198203,-1.87,-0.21,3.83,0.98
669,198204,3.27,1.47,-2.7,1.13
670,198205,-3.99,0.52,1.76,1.06
671,198206,-3.09,-0.4,1.55,0.96
672,198207,-3.19,0.83,0.09,1.05
673,198208,11.14,-4.13,0.93,0.76
674,198209,1.29,2.96,0.27,0.51
675,198210,11.3,2.35,-3.67,0.59
676,198211,4.67,4.66,-1.85,0.63
677,198212,0.55,-0.25,0.01,0.67
678,198301,3.6,2.71,-0.71,0.69
679,198302,2.59,3.28,0.7,0.62
680,198303,2.82,1.74,2.01,0.63
681,198304,6.67,0.49,0.51,0.71
682,198305,0.52,6.26,-1.42,0.69
683,198306,3.07,0.95,-3.91,0.67
684,198307,-4.07,1.49,5.62,0.74
685,198308,-0.5,-4.27,5.54,0.76
686,198309,0.91,0.62,1.01,0.76
687,198310,-3.44,-3.57,4.97,0.76
688,198311,2.16,2.02,-0.73,0.7
689,198312,-1.78,-0.27,1.7,0.73
690,198401,-1.92,-0.37,7.57,0.76
691,198402,-4.82,-1.69,3.34,0.71
692,198403,0.63,0.07,0.47,0.73
693,198404,-0.51,-1.16,1.19,0.81
694,198405,-5.97,0.07,0.29,0.78
695,198406,1.82,-0.31,-2.66,0.75
696,198407,-2.74,-2.21,0.33,0.82
697,198408,10.28,-0.24,-1.8,0.83
698,198409,-0.8,0.18,5.23,0.86
699,198410,-0.84,-1.23,0.47,1.0
700,198411,-1.76,-0.63,4.04,0.73
701,198412,1.84,-0.56,-0.25,0.64
702,198501,7.99,3.3,-5.33,0.65
703,198502,1.22,0.8,-0.1,0.58
704,198503,-0.84,-1.07,4.07,0.62
705,198504,-0.96,0.15,3.72,0.72
706,198505,5.09,-2.22,-0.94,0.66
707,198506,1.27,0.52,0.41,0.55
708,198507,-0.74,2.85,-1.6,0.62
709,198508,-1.02,-0.31,2.28,0.55
710,198509,-4.54,-1.59,1.29,0.6
711,198510,4.02,-1.51,0.75,0.65
712,198511,6.48,0.25,-2.84,0.61
713,198512,3.88,-0.51,-1.54,0.65
714,198601,0.65,1.21,0.44,0.56
715,198602,7.13,-0.56,-0.77,0.53
716,198603,4.88,-0.58,-0.37,0.6
717,198604,-1.31,2.78,-2.86,0.52
718,198605,4.62,-1.35,-0.21,0.49
719,198606,1.03,-0.95,1.3,0.52
720,198607,-6.45,-3.36,4.7,0.52
721,198608,6.07,-4.17,3.51,0.46
722,198609,-8.6,2.36,3.22,0.45
723,198610,4.66,-2.5,-1.42,0.46
724,198611,1.17,-1.91,-0.07,0.39
725,198612,-3.27,0.13,0.36,0.49
726,198701,12.47,-1.81,-3.16,0.42
727,198702,4.39,3.49,-5.91,0.43
728,198703,1.64,0.45,1.61,0.47
729,198704,-2.11,-1.69,-0.39,0.44
730,198705,0.11,-0.5,0.23,0.38
731,198706,3.94,-2.12,1.04,0.48
732,198707,3.85,-0.66,0.73,0.46
733,198708,3.52,-0.77,-0.95,0.47
734,198709,-2.59,0.56,0.3,0.45
735,198710,-23.24,-8.4,4.23,0.6
736,198711,-7.77,2.75,2.96,0.35
737,198712,6.81,0.12,-4.39,0.39
738,198801,4.21,-0.76,4.95,0.29
739,198802,4.75,3.34,-1.69,0.46
740,198803,-2.27,6.14,0.74,0.44
741,198804,0.56,0.98,1.63,0.46
742,198805,-0.29,-2.61,2.42,0.51
743,198806,4.79,2.1,-1.22,0.49
744,198807,-1.25,-0.26,2.17,0.51
745,198808,-3.31,0.04,2.1,0.59
746,198809,3.3,-1.3,-0.75,0.62
747,198810,1.15,-2.92,1.69,0.61
748,198811,-2.29,-1.71,1.3,0.57
749,198812,1.49,1.97,-1.61,0.63
750,198901,6.1,-2.22,0.62,0.55
751,198902,-2.25,2.82,0.93,0.61
752,198903,1.57,0.67,0.54,0.67
753,198904,4.33,-0.68,-1.4,0.67
754,198905,3.35,-0.05,-0.87,0.79
755,198906,-1.35,-1.02,2.23,0.71
756,198907,7.2,-4.16,-2.79,0.7
757,198908,1.44,0.56,0.6,0.74
758,198909,-0.76,0.32,-1.27,0.65
759,198910,-3.67,-3.24,-1.11,0.68
760,198911,1.03,-1.24,-1.09,0.69
761,198912,1.16,-2.37,0.16,0.61
762,199001,-7.85,-1.25,0.85,0.57
763,199002,1.11,0.97,0.64,0.57
764,199003,1.83,1.46,-2.92,0.64
765,199004,-3.36,-0.45,-2.59,0.69
766,199005,8.42,-2.56,-3.83,0.68
767,199006,-1.09,1.36,-1.93,0.63
768,199007,-1.9,-3.09,-0.04,0.68
769,199008,-10.15,-3.56,1.6,0.66
770,199009,-6.12,-3.67,0.61,0.6
771,199010,-1.92,-5.53,0.0,0.68
772,199011,6.35,0.45,-2.97,0.57
773,199012,2.46,0.82,-1.63,0.6
774,199101,4.69,3.83,-1.57,0.52
775,199102,7.19,3.99,-0.63,0.48
776,199103,2.65,3.9,-1.3,0.44
777,199104,-0.28,0.48,1.45,0.53
778,199105,3.65,-0.4,-0.49,0.47
779,199106,-4.94,0.15,1.07,0.42
780,199107,4.24,-0.91,-1.32,0.49
781,199108,2.32,1.59,-0.78,0.46
782,199109,-1.59,1.64,-1.07,0.46
783,199110,1.29,0.81,-0.46,0.42
784,199111,-4.19,-0.5,-1.88,0.39
785,199112,10.84,-2.24,-4.18,0.38
786,199201,-0.59,8.46,4.7,0.34
787,199202,1.09,0.87,6.47,0.28
788,199203,-2.66,-1.04,3.55,0.34
789,199204,1.07,-6.06,4.32,0.32
790,199205,0.3,0.41,1.19,0.28
791,199206,-2.34,-3.07,3.25,0.32
792,199207,3.77,-0.51,-0.55,0.31
793,199208,-2.38,-0.14,-1.08,0.26
794,199209,1.19,0.49,-0.23,0.26
795,199210,1.02,2.1,-1.98,0.23
796,199211,4.13,3.79,-1.42,0.23
797,199212,1.53,1.67,2.65,0.28
798,199301,0.93,1.85,5.95,0.23
799,199302,0.12,-3.49,6.44,0.22
800,199303,2.3,0.23,1.19,0.25
801,199304,-3.05,-0.68,2.48,0.24
802,199305,2.89,2.08,-3.5,0.22
803,199306,0.31,-0.26,2.72,0.25
804,199307,-0.34,0.9,2.82,0.24
805,199308,3.71,0.14,0.14,0.25
806,199309,-0.12,2.98,-0.35,0.26
807,199310,1.41,2.03,-2.78,0.22
808,199311,-1.89,-1.13,-0.66,0.25
809,199312,1.65,1.2,0.27,0.23
810,199401,2.87,0.51,1.28,0.25
811,199402,-2.55,2.8,-1.56,0.21
812,199403,-4.78,-1.14,1.55,0.27
813,199404,0.68,-0.92,1.66,0.27
814,199405,0.58,-2.12,0.7,0.31
815,199406,-3.03,-0.4,1.67,0.31
816,199407,2.82,-1.76,0.57,0.28
817,199408,4.01,1.43,-2.5,0.37
818,199409,-2.31,3.11,-1.84,0.37
819,199410,1.34,-2.26,-1.63,0.38
820,199411,-4.04,0.31,-0.73,0.37
821,199412,0.86,0.19,-0.09,0.44
822,199501,1.8,-3.44,2.51,0.42
823,199502,3.63,-0.66,1.09,0.4
824,199503,2.19,-0.21,-2.08,0.46
825,199504,2.11,-0.49,1.7,0.44
826,199505,2.9,-2.52,2.27,0.54
827,199506,2.72,3.15,-2.54,0.47
828,199507,3.72,2.06,-1.59,0.45
829,199508,0.55,1.36,2.81,0.47
830,199509,3.35,-2.2,-0.05,0.43
831,199510,-1.52,-3.8,-0.51,0.47
832,199511,3.96,-1.11,0.58,0.42
833,199512,1.03,0.72,0.18,0.49
834,199601,2.26,-2.73,0.4,0.43
835,199602,1.33,1.78,-1.07,0.39
836,199603,0.73,1.51,0.36,0.39
837,199604,2.06,5.22,-4.05,0.46
838,199605,2.36,3.18,-0.89,0.42
839,199606,-1.14,-3.99,2.38,0.4
840,199607,-5.97,-4.31,5.14,0.45
841,199608,2.77,2.46,-0.74,0.41
842,199609,5.01,-0.98,-2.7,0.44
843,199610,0.86,-4.44,4.94,0.42
844,199611,6.25,-4.05,1.39,0.41
845,199612,-1.7,3.17,1.32,0.46
846,199701,4.98,-1.93,-1.46,0.45
847,199702,-0.49,-3.2,5.69,0.39
848,199703,-5.02,-0.35,3.4,0.43
849,199704,4.04,-5.78,0.07,0.43
850,199705,6.74,5.19,-4.12,0.49
851,199706,4.1,1.24,1.59,0.37
852,199707,7.33,-2.73,0.29,0.43
853,199708,-4.15,7.31,1.2,0.41
854,199709,5.35,2.53,0.38,0.44
855,199710,-3.8,-0.77,2.25,0.42
856,199711,2.98,-5.13,1.19,0.39
857,199712,1.32,-2.47,3.86,0.48
858,199801,0.15,-1.06,-1.59,0.43
859,199802,7.04,0.34,-0.85,0.39
860,199803,4.76,-1.11,1.41,0.39
861,199804,0.73,0.02,0.9,0.43
862,199805,-3.07,-3.35,3.4,0.4
863,199806,3.18,-3.23,-1.96,0.41
864,199807,-2.46,-4.91,-1.76,0.4
865,199808,-16.08,-5.68,3.6,0.43
866,199809,6.15,0.1,-3.37,0.46
867,199810,7.13,-3.12,-2.29,0.32
868,199811,6.1,1.2,-3.23,0.31
869,199812,6.16,-0.51,-4.18,0.38
870,199901,3.5,0.78,-4.62,0.35
871,199902,-4.08,-6.06,1.88,0.35
872,199903,3.45,-3.77,-2.77,0.43
873,199904,4.33,3.95,2.41,0.37
874,199905,-2.46,3.37,2.3,0.34
875,199906,4.77,3.14,-3.27,0.4
876,199907,-3.49,2.6,-0.42,0.38
877,199908,-1.38,-0.94,-1.84,0.39
878,199909,-2.79,3.44,-3.48,0.39
879,199910,6.12,-6.61,-3.37,0.39
880,199911,3.37,7.22,-6.16,0.36
881,199912,7.72,6.99,-8.32,0.44
882,200001,-4.74,5.79,-1.89,0.41
883,200002,2.45,21.48,-9.81,0.43
884,200003,5.2,-17.29,8.23,0.47
885,200004,-6.4,-6.63,7.25,0.46
886,200005,-4.42,-6.11,4.83,0.5
887,200006,4.64,12.8,-8.41,0.4
888,200007,-2.51,-3.08,8.33,0.48
889,200008,7.03,-0.63,-1.37,0.5
890,200009,-5.45,-1.73,7.17,0.51
891,200010,-2.76,-3.93,5.64,0.56
892,200011,-10.72,-3.39,12.34,0.51
893,200012,1.19,0.73,7.6,0.5
894,200101,3.13,6.68,-5.11,0.54
895,200102,-10.05,-0.74,12.48,0.38
896,200103,-7.26,0.27,6.43,0.42
897,200104,7.94,0.56,-4.69,0.39
898,200105,0.72,2.5,3.36,0.32
899,200106,-1.94,6.27,-1.13,0.28
900,200107,-2.13,-4.19,5.21,0.3
901,200108,-6.46,2.48,2.3,0.31
902,200109,-9.25,-6.25,1.46,0.28
903,200110,2.46,7.49,-7.66,0.22
904,200111,7.54,-0.47,2.22,0.17
905,200112,1.6,4.73,0.85,0.15
906,200201,-1.44,1.19,3.44,0.14
907,200202,-2.29,-1.0,2.16,0.13
908,200203,4.24,4.21,1.07,0.13
909,200204,-5.2,5.96,3.88,0.15
910,200205,-1.38,-3.21,1.53,0.14
911,200206,-7.21,4.28,-0.03,0.13
912,200207,-8.18,-5.26,-3.87,0.15
913,200208,0.5,-2.87,3.31,0.14
914,200209,-10.35,2.43,1.44,0.14
915,200210,7.84,-3.41,-3.95,0.14
916,200211,5.96,3.23,-1.27,0.12
917,200212,-5.76,0.11,2.13,0.11
918,200301,-2.57,1.3,-0.73,0.1
919,200302,-1.88,-0.46,-1.38,0.09
920,200303,1.09,1.04,-1.93,0.1
921,200304,8.22,0.67,1.17,0.1
922,200305,6.05,4.71,0.53,0.09
923,200306,1.42,1.74,0.19,0.1
924,200307,2.35,5.11,-1.19,0.07
925,200308,2.34,2.62,1.54,0.07
926,200309,-1.24,0.8,0.1,0.08
927,200310,6.08,2.63,1.92,0.07
928,200311,1.35,2.0,1.81,0.07
929,200312,4.29,-2.71,1.6,0.08
930,200401,2.15,2.54,2.46,0.07
931,200402,1.4,-1.52,0.87,0.06
932,200403,-1.32,1.75,0.23,0.09
933,200404,-1.83,-1.74,-3.02,0.08
934,200405,1.17,-0.25,-0.23,0.06
935,200406,1.86,2.28,1.23,0.08
936,200407,-4.06,-3.8,3.22,0.1
937,200408,0.08,-1.49,1.0,0.11
938,200409,1.6,3.02,-0.02,0.11
939,200410,1.43,0.15,-0.25,0.11
940,200411,4.54,3.73,1.45,0.15
941,200412,3.43,-0.03,-0.21,0.16
942,200501,-2.76,-1.72,2.07,0.16
943,200502,1.89,-0.57,1.54,0.16
944,200503,-1.97,-1.4,2.05,0.21
945,200504,-2.61,-3.93,0.05,0.21
946,200505,3.65,2.88,-0.59,0.24
947,200506,0.57,2.59,2.81,0.23
948,200507,3.92,2.9,-0.78,0.24
949,200508,-1.22,-0.98,1.34,0.3
950,200509,0.49,-0.67,0.69,0.29
951,200510,-2.02,-1.23,0.41,0.27
952,200511,3.61,0.99,-1.2,0.31
953,200512,-0.25,-0.41,0.22,0.32
954,200601,3.04,5.42,1.09,0.35
955,200602,-0.3,-0.4,-0.37,0.34
956,200603,1.46,3.45,0.55,0.37
957,200604,0.73,-1.43,2.34,0.36
958,200605,-3.57,-2.98,2.39,0.43
959,200606,-0.35,-0.38,0.8,0.4
960,200607,-0.78,-3.99,2.62,0.4
961,200608,2.03,1.01,-2.04,0.42
962,200609,1.84,-1.34,0.06,0.41
963,200610,3.23,1.72,-0.26,0.41
964,200611,1.71,0.72,0.11,0.42
965,200612,0.87,-1.13,2.71,0.4
966,200701,1.4,0.14,-0.7,0.44
967,200702,-1.96,1.18,-0.12,0.38
968,200703,0.68,0.15,-0.94,0.43
969,200704,3.49,-2.17,-1.43,0.44
970,200705,3.24,0.23,-0.62,0.41
971,200706,-1.96,0.76,-1.07,0.4
972,200707,-3.73,-2.61,-3.73,0.4
973,200708,0.92,-0.14,-1.89,0.42
974,200709,3.22,-2.22,-2.23,0.32
975,200710,1.8,0.12,-3.11,0.32
976,200711,-4.83,-2.93,-0.94,0.34
977,200712,-0.87,0.16,-0.52,0.27
978,200801,-6.36,-0.98,4.01,0.21
979,200802,-3.09,-0.41,-0.84,0.13
980,200803,-0.93,0.77,0.35,0.17
981,200804,4.6,-1.72,-1.09,0.18
982,200805,1.86,2.95,-1.53,0.18
983,200806,-8.44,1.24,-2.7,0.17
984,200807,-0.77,2.56,5.27,0.15
985,200808,1.53,3.5,1.48,0.13
986,200809,-9.24,-1.24,5.9,0.15
987,200810,-17.23,-2.52,-2.22,0.08
988,200811,-7.86,-2.87,-6.3,0.03
989,200812,1.74,3.49,0.07,0.0
990,200901,-8.12,0.18,-11.11,0.0
991,200902,-10.1,0.13,-6.91,0.01
992,200903,8.95,0.0,3.34,0.02
993,200904,10.18,5.28,5.26,0.01
994,200905,5.21,-2.52,0.37,0.0
995,200906,0.43,2.66,-2.72,0.01
996,200907,7.72,1.87,4.84,0.01
997,200908,3.33,-1.08,7.63,0.01
998,200909,4.08,2.43,1.04,0.01
999,200910,-2.59,-4.34,-4.2,0.0
1000,200911,5.56,-2.39,-0.33,0.0
1001,200912,2.75,6.04,-0.17,0.01
1002,201001,-3.36,0.4,0.43,0.0
1003,201002,3.4,1.19,3.22,0.0
1004,201003,6.31,1.48,2.21,0.01
1005,201004,2.0,4.87,2.89,0.01
1006,201005,-7.89,0.09,-2.44,0.01
1007,201006,-5.57,-1.81,-4.7,0.01
1008,201007,6.93,0.24,-0.3,0.01
1009,201008,-4.77,-2.95,-1.96,0.01
1010,201009,9.54,3.96,-3.17,0.01
1011,201010,3.88,1.21,-2.49,0.01
1012,201011,0.6,3.77,-0.88,0.01
1013,201012,6.82,0.67,3.78,0.01
1014,201101,1.99,-2.44,0.77,0.01
1015,201102,3.49,1.47,1.24,0.01
1016,201103,0.46,2.56,-1.88,0.01
1017,201104,2.9,-0.32,-2.48,0.0
1018,201105,-1.27,-0.65,-2.0,0.0
1019,201106,-1.75,-0.14,-0.38,0.0
1020,201107,-2.35,-1.29,-0.91,0.0
1021,201108,-5.99,-3.07,-2.4,0.01
1022,201109,-7.59,-3.33,-1.75,0.0
1023,201110,11.35,3.3,0.12,0.0
1024,201111,-0.28,-0.17,-0.46,0.0
1025,201112,0.74,-0.6,1.61,0.0
1026,201201,5.05,2.06,-0.94,0.0
1027,201202,4.42,-1.86,0.43,0.0
1028,201203,3.11,-0.66,1.12,0.0
1029,201204,-0.85,-0.41,-0.77,0.0
1030,201205,-6.19,0.09,-1.06,0.01
1031,201206,3.89,0.64,0.59,0.0
1032,201207,0.79,-2.72,-0.12,0.0
1033,201208,2.55,0.48,1.3,0.01
1034,201209,2.73,0.54,1.58,0.01
1035,201210,-1.76,-1.17,3.56,0.01
1036,201211,0.78,0.61,-0.83,0.01
1037,201212,1.18,1.52,3.53,0.01
1038,201301,5.57,0.31,0.95,0.0
1039,201302,1.29,-0.33,0.1,0.0
1040,201303,4.03,0.83,-0.23,0.0
1041,201304,1.55,-2.36,0.5,0.0
1042,201305,2.8,1.72,2.67,0.0
1043,201306,-1.2,1.32,0.05,0.0
1044,201307,5.65,1.87,0.57,0.0
1045,201308,-2.71,0.26,-2.68,0.0
1046,201309,3.77,2.9,-1.23,0.0
1047,201310,4.18,-1.56,1.26,0.0
1048,201311,3.13,1.29,0.28,0.0
1049,201312,2.81,-0.46,-0.01,0.0
1050,201401,-3.32,0.92,-2.02,0.0
1051,201402,4.65,0.37,-0.31,0.0
1052,201403,0.43,-1.87,4.92,0.0
1053,201404,-0.19,-4.2,1.14,0.0
1054,201405,2.06,-1.89,-0.13,0.0
1055,201406,2.61,3.09,-0.69,0.0
1056,201407,-2.04,-4.28,0.02,0.0
1057,201408,4.24,0.38,-0.43,0.0
1058,201409,-1.97,-3.72,-1.35,0.0
1059,201410,2.52,4.22,-1.83,0.0
1060,201411,2.55,-2.05,-3.09,0.0
1061,201412,-0.06,2.49,2.27,0.0
1062,201501,-3.11,-0.54,-3.61,0.0
1063,201502,6.13,0.6,-1.86,0.0
1064,201503,-1.12,3.07,-0.41,0.0
1065,201504,0.59,-3.04,1.83,0.0
1066,201505,1.36,0.92,-1.12,0.0
1067,201506,-1.53,2.9,-0.78,0.0
1068,201507,1.54,-4.2,-4.07,0.0
1069,201508,-6.04,0.36,2.8,0.0
1070,201509,-3.07,-2.63,0.58,0.0
1071,201510,7.75,-1.87,-0.45,0.0
1072,201511,0.56,3.6,-0.38,0.0
1073,201512,-2.17,-2.81,-2.59,0.01
1074,201601,-5.77,-3.39,2.07,0.01
1075,201602,-0.08,0.81,-0.57,0.02
1076,201603,6.96,0.75,1.1,0.02
1077,201604,0.92,0.67,3.21,0.01
1078,201605,1.78,-0.19,-1.65,0.01
1079,201606,-0.05,0.59,-1.45,0.02
1080,201607,3.95,2.51,-1.29,0.02
1081,201608,0.5,1.17,3.11,0.02
1082,201609,0.25,2.13,-1.21,0.02
1083,201610,-2.02,-4.41,4.12,0.02
1084,201611,4.86,5.67,8.21,0.01
1085,201612,1.82,0.09,3.6,0.03
1086,201701,1.94,-1.13,-2.74,0.04
1087,201702,3.57,-2.04,-1.67,0.04
1088,201703,0.17,1.13,-3.33,0.03
1089,201704,1.09,0.72,-2.13,0.05
1090,201705,1.06,-2.52,-3.75,0.06
1091,201706,0.78,2.23,1.49,0.06
1092,201707,1.87,-1.46,-0.22,0.07
1093,201708,0.16,-1.65,-2.07,0.09
1094,201709,2.51,4.45,3.09,0.09
1095,201710,2.25,-1.93,0.22,0.09
1096,201711,3.12,-0.56,-0.05,0.08
1097,201712,1.06,-1.32,0.03,0.09
1098,201801,5.58,-3.18,-1.36,0.11
1099,201802,-3.65,0.26,-1.03,0.11
1100,201803,-2.35,4.06,-0.23,0.12
1101,201804,0.29,1.1,0.48,0.14
1102,201805,2.65,5.31,-3.13,0.14
1103,201806,0.48,1.13,-2.33,0.14
1104,201807,3.19,-2.25,0.45,0.16
1105,201808,3.44,1.14,-3.98,0.16
1106,201809,0.06,-2.3,-1.7,0.15
1107,201810,-7.68,-4.82,3.43,0.19
1108,201811,1.69,-0.68,0.26,0.18
1109,201812,-9.55,-2.42,-1.9,0.19
1110,201901,8.41,2.9,-0.44,0.21
1111,201902,3.4,2.04,-2.68,0.18
1112,201903,1.1,-2.98,-4.05,0.19
1113,201904,3.96,-1.74,2.17,0.21
1114,201905,-6.94,-1.34,-2.37,0.21
1115,201906,6.93,0.25,-0.71,0.18
1116,201907,1.19,-1.94,0.42,0.19
1117,201908,-2.58,-2.32,-4.95,0.16
1118,201909,1.43,-0.97,6.83,0.18
1119,201910,2.06,0.28,-1.93,0.15
1120,201911,3.87,0.8,-2.02,0.12
1121,201912,2.77,0.72,1.79,0.14
1122,202001,-0.11,-3.13,-6.24,0.13
1123,202002,-8.13,1.03,-3.79,0.12
1124,202003,-13.38,-4.89,-14.02,0.12
1125,202004,13.65,2.47,-1.18,0.0
1126,202005,5.58,2.45,-4.8,0.01
1127,202006,2.46,2.69,-2.04,0.01
1128,202007,5.77,-2.28,-1.53,0.01
1129,202008,7.63,-0.26,-2.92,0.01
1130,202009,-3.63,0.03,-2.61,0.01
1131,202010,-2.1,4.41,4.16,0.01
1132,202011,12.47,5.65,2.13,0.01
1133,202012,4.63,4.82,-1.43,0.01
1134,202101,-0.03,7.12,2.99,0.0
1135,202102,2.78,2.03,7.18,0.0
1136,202103,3.08,-2.41,7.41,0.0
1137,202104,4.93,-3.11,-0.93,0.0
1138,202105,0.29,-0.28,7.04,0.0
1139,202106,2.75,1.8,-7.76,0.0
1140,202107,1.27,-3.96,-1.75,0.0
1141,202108,2.9,-0.48,-0.13,0.0
1142,202109,-4.37,0.8,5.09,0.0
1143,202110,6.65,-2.28,-0.44,0.0
1144,202111,-1.55,-1.35,-0.52,0.0
1145,1927,29.47,-2.83,-3.4,3.12
1146,1928,35.39,4.51,-6.17,3.56
1147,1929,-19.54,-30.69,11.65,4.75
1148,1930,-31.23,-5.34,-11.76,2.41
1149,1931,-45.11,3.64,-14.56,1.07
1150,1932,-9.39,4.56,10.83,0.96
1151,1933,57.05,45.46,32.39,0.3
1152,1934,3.02,25.6,-27.96,0.16
1153,1935,44.96,10.91,8.74,0.17
1154,1936,32.07,17.97,34.83,0.18
1155,1937,-34.96,-14.14,-4.09,0.31
1156,1938,28.48,9.29,-12.05,-0.02
1157,1939,2.7,5.77,-18.98,0.02
1158,1940,-7.14,1.18,-1.6,0.0
1159,1941,-10.53,-4.04,11.13,0.06
1160,1942,16.2,5.09,19.96,0.27
1161,1943,27.96,33.29,38.47,0.35
1162,1944,20.97,17.53,16.46,0.33
1163,1945,38.38,25.14,10.88,0.33
1164,1946,-6.73,-3.99,3.11,0.35
1165,1947,2.95,-6.99,9.87,0.5
1166,1948,1.07,-9.11,3.74,0.81
1167,1949,19.12,3.75,-4.24,1.1
1168,1950,28.82,1.13,27.04,1.2
1169,1951,19.22,-5.22,-5.67,1.49
1170,1952,11.8,-6.76,3.31,1.66
1171,1953,-1.05,-1.16,-7.73,1.82
1172,1954,49.35,-2.06,26.04,0.86
1173,1955,23.75,-5.91,4.9,1.57
1174,1956,5.9,-0.9,-1.84,2.46
1175,1957,-13.16,-2.7,-6.18,3.14
1176,1958,43.45,14.51,13.48,1.54
1177,1959,9.76,5.46,1.78,2.95
1178,1960,-1.46,-2.72,-4.55,2.66
1179,1961,24.81,1.51,5.14,2.13
1180,1962,-12.9,-8.34,9.02,2.73
1181,1963,17.84,-6.06,15.45,3.12
1182,1964,12.54,-0.76,9.65,3.54
1183,1965,10.52,22.05,6.95,3.93
1184,1966,-13.51,2.93,-1.14,4.76
1185,1967,24.49,49.63,-7.3,4.21
1186,1968,8.79,24.17,18.49,5.21
1187,1969,-17.54,-14.12,-9.95,6.58
1188,1970,-6.49,-11.76,21.54,6.52
1189,1971,11.78,5.98,-11.26,4.39
1190,1972,13.05,-12.26,1.76,3.84
1191,1973,-26.18,-23.45,17.47,6.93
1192,1974,-35.75,-0.72,9.87,8.0
1193,1975,32.44,15.43,9.25,5.8
1194,1976,21.91,14.58,24.28,5.08
1195,1977,-8.26,22.6,7.5,5.12
1196,1978,1.03,14.39,0.59,7.18
1197,1979,13.09,21.23,-2.48,10.38
1198,1980,22.13,5.7,-24.63,11.24
1199,1981,-18.13,7.13,25.12,14.71
1200,1982,10.66,8.7,13.36,10.54
1201,1983,13.74,14.03,20.49,8.8
1202,1984,-6.05,-8.2,19.07,9.85
1203,1985,24.91,0.58,1.37,7.72
1204,1986,10.12,-9.56,9.33,6.16
1205,1987,-3.87,-10.85,-1.62,5.47
1206,1988,11.55,5.76,14.37,6.35
1207,1989,20.49,-12.9,-4.12,8.37
1208,1990,-13.95,-14.02,-10.04,7.81
1209,1991,29.18,16.16,-14.72,5.6
1210,1992,6.23,7.67,24.49,3.51
1211,1993,8.21,6.38,16.86,2.9
1212,1994,-4.1,-0.3,-0.77,3.9
1213,1995,31.22,-9.75,6.05,5.6
1214,1996,15.96,-4.42,8.7,5.21
1215,1997,25.96,-7.64,19.11,5.26
1216,1998,19.46,-25.28,-10.32,4.86
1217,1999,20.57,15.58,-31.96,4.68
1218,2000,-17.6,-4.58,45.02,5.89
1219,2001,-15.2,18.24,18.5,3.83
1220,2002,-22.76,4.45,8.09,1.65
1221,2003,30.75,26.51,5.11,1.02
1222,2004,10.72,4.43,7.67,1.2
1223,2005,3.09,-2.36,9.43,2.98
1224,2006,10.6,0.08,11.75,4.8
1225,2007,1.04,-7.4,-17.28,4.66
1226,2008,-38.34,2.45,0.83,1.6
1227,2009,28.26,9.35,-9.42,0.1
1228,2010,17.37,14.29,-5.1,0.12
1229,2011,0.44,-5.79,-8.54,0.04
1230,2012,16.27,-1.32,9.85,0.06
1231,2013,35.2,7.63,2.65,0.02
1232,2014,11.71,-7.8,-1.46,0.02
1233,2015,0.08,-3.93,-9.53,0.02
1234,2016,13.3,6.63,22.64,0.2
1235,2017,21.51,-4.95,-13.48,0.8
1236,2018,-6.93,-3.34,-9.8,1.81
