,yandm,MktRF,smb,hml,rf
76,193211,-5.88,2.0,-13.11,0.02
77,193212,4.4,-8.64,-7.72,0.01
78,193301,1.25,0.63,6.36,0.01
79,193302,-15.24,-2.58,-2.95,-0.03
80,193303,3.29,3.79,7.54,0.04
81,193304,38.85,3.07,19.65,0.1
82,193305,21.43,36.56,19.19,0.04
83,193306,13.11,8.42,-1.78,0.02
84,193307,-9.63,-1.05,3.27,0.02
85,193308,12.05,-5.39,3.0,0.03
86,193309,-10.65,-0.4,-11.74,0.02
87,193310,-8.36,-0.2,-8.57,0.01
88,193311,9.97,-6.47,2.32,0.02
89,193312,1.83,0.63,-1.56,0.02
90,193401,12.6,12.69,15.59,0.05
91,193402,-2.5,5.1,2.0,0.02
92,193403,0.09,2.51,-2.7,0.02
93,193404,-1.79,2.73,-3.73,0.01
94,193405,-7.25,-0.29,-5.89,0.01
95,193406,2.64,-2.23,-2.96,0.01
96,193407,-10.96,-6.71,-10.98,0.01
97,193408,5.58,5.24,0.68,0.01
98,193409,-0.23,-1.43,-1.31,0.01
99,193410,-1.66,1.53,-5.5,0.01
100,193411,8.33,6.31,-1.97,0.01
101,193412,0.36,2.99,-3.11,0.01
102,193501,-3.45,1.03,-1.83,0.01
103,193502,-1.94,0.56,-7.51,0.02
104,193503,-3.68,-3.59,-5.07,0.01
105,193504,9.06,-1.47,4.32,0.01
106,193505,3.47,-3.25,2.48,0.01
107,193506,5.93,-2.4,-1.88,0.01
108,193507,7.51,1.65,6.64,0.01
109,193508,2.65,6.11,5.9,0.01
110,193509,2.63,1.63,-4.01,0.01
111,193510,7.03,2.8,-2.44,0.01
112,193511,4.88,4.16,11.73,0.02
113,193512,4.56,0.4,1.06,0.01
114,193601,6.89,5.17,10.33,0.01
115,193602,2.49,1.42,4.87,0.01
116,193603,0.99,0.57,-1.62,0.02
117,193604,-8.14,-6.07,-2.08,0.02
118,193605,5.19,0.9,2.54,0.02
119,193606,2.4,-3.23,-1.22,0.03
120,193607,6.67,1.0,2.4,0.01
121,193608,0.99,0.6,3.82,0.02
122,193609,0.98,3.08,0.9,0.01
123,193610,7.12,-2.43,2.47,0.02
124,193611,3.27,8.77,-1.21,0.01
125,193612,0.21,3.96,4.3,0.0
126,193701,3.35,4.34,2.61,0.01
127,193702,1.09,1.05,4.83,0.02
128,193703,-0.27,-1.69,6.5,0.01
129,193704,-7.36,-3.83,-3.66,0.03
130,193705,-0.83,-0.68,-3.48,0.06
131,193706,-4.21,-3.76,-3.33,0.03
132,193707,8.91,0.89,0.81,0.03
133,193708,-4.86,0.44,-2.25,0.02
134,193709,-13.61,-6.98,-4.57,0.04
135,193710,-9.61,0.41,-1.55,0.02
136,193711,-8.31,-3.6,0.15,0.02
137,193712,-4.24,-7.74,-0.4,0.0
138,193801,0.49,4.84,-1.61,0.0
139,193802,5.84,0.4,-2.02,0.0
140,193803,-23.82,-4.34,-3.54,-0.01
141,193804,14.51,6.46,0.23,0.01
142,193805,-3.83,-2.51,-0.27,0.0
143,193806,23.87,4.3,0.32,0.0
144,193807,7.34,6.67,2.14,-0.01
145,193808,-2.67,-2.44,-4.73,0.0
146,193809,0.81,-2.73,-1.61,0.02
147,193810,7.8,5.79,5.07,0.01
148,193811,-1.72,-2.57,-1.21,-0.06
149,193812,4.19,-1.83,0.53,0.0
150,193901,-5.96,-1.53,-3.96,-0.01
151,193902,3.51,0.64,2.94,0.01
152,193903,-11.99,-4.72,-8.37,-0.01
153,193904,-0.18,1.66,-0.29,0.0
154,193905,6.8,2.78,0.53,0.01
155,193906,-5.31,-0.99,-5.45,0.01
156,193907,10.24,4.13,0.31,0.0
157,193908,-6.68,-4.68,-2.33,-0.01
158,193909,16.88,20.61,21.88,0.01
159,193910,-0.53,-0.16,-4.7,0.0
160,193911,-3.62,-5.22,-6.28,0.0
161,193912,3.03,0.87,-4.19,0.0
162,194001,-2.41,0.4,-1.09,0.0
163,194002,1.44,2.22,0.19,0.0
164,194003,2.05,1.26,-1.29,0.0
165,194004,0.22,4.01,-0.26,0.0
166,194005,-21.95,-6.61,-3.82,-0.02
167,194006,6.67,-1.72,3.88,0.0
168,194007,3.16,1.01,-0.74,0.01
169,194008,2.19,-0.11,0.56,-0.01
170,194009,2.39,3.22,-1.13,0.0
171,194010,3.02,0.28,4.64,0.0
172,194011,-1.61,1.94,0.12,0.0
173,194012,0.69,-2.15,-0.89,0.0
174,194101,-4.17,1.0,3.83,-0.01
175,194102,-1.43,-1.56,0.89,-0.01
176,194103,0.84,0.1,3.04,0.01
177,194104,-5.46,-1.68,3.41,-0.01
178,194105,1.39,-0.65,0.6,0.0
179,194106,5.83,1.32,0.59,0.0
180,194107,5.87,5.71,7.25,0.03
181,194108,-0.17,-0.42,-1.1,0.01
182,194109,-0.87,-0.99,-0.28,0.01
183,194110,-5.25,-2.02,1.63,0.0
184,194111,-1.92,-1.21,-0.64,0.0
185,194112,-4.87,-2.99,-5.94,0.01
186,194201,0.79,7.53,10.1,0.02
187,194202,-2.46,1.72,-1.13,0.01
188,194203,-6.58,1.77,-0.62,0.01
189,194204,-4.37,-0.6,2.09,0.01
190,194205,5.94,-3.05,-2.65,0.03
191,194206,2.69,-1.22,0.54,0.02
192,194207,3.51,-0.14,2.44,0.03
193,194208,1.8,-0.02,1.4,0.03
194,194209,2.61,0.55,2.28,0.03
195,194210,6.82,1.75,6.37,0.03
196,194211,0.15,-1.36,-4.05,0.03
197,194212,5.12,-2.56,0.54,0.03
198,194301,7.13,8.88,8.18,0.03
